AFFE,AFFENPINSCHER
AFGH,AFGHAN HOUND
AIRE,AIREDALE TERRIER
GPJA,AKITA AMERICANO
AKIN,AKITA INU
ALMA,ALASKAN MALAMUTE
ASTE,AMERICAN STAFFORDSHIRE TERRIER
GADH,ANTIGUO PERRO DE MUESTRA DANÉS
APSE,APPENZELLER SENNENHUND
AUCA,AUSTRALIAN CATTLE DOG
AUKE,AUSTRALIAN KELPIE
AUSH,AUSTRALIAN SHEPHERD
SITE,AUSTRALIAN SILKY TERRIER
AUTE,AUSTRALIAN TERRIER
AZAW,AZAWAKH
BASE,BASENJI
BAAN,BASSET ARTESIANO NORMANDO
BABL,BASSET AZUL DE GASCUÑA
BAHO,BASSET HOUND
BAFA,BASSET LEONADO DE BRETAÑA
BEAG,BEAGLE
BEHA,BEAGLE-HARRIER
BECO,BEARDED COLLIE
BETE,BEDLINGTON TERRIER
BEBE,BERGER DE BEAUCE
BEBR,BERGER DE BRIE
BOLO,BICHÓN BOLOÑÉS
BIFR,BICHON FRISE
BIHA,BICHON HABANERO
BILL,BILLY
COON,BLACK AND TAN COONHOUND
BLOO,BLOODHOUND
BOCO,BORDER COLLIE
BORD,BORDER TERRIER
BORZ,BORZOI
BOTE,BOSTON TERRIER
BOFL,BOUVIER DES FLANDRES
BOXE,BOXER
ENTL,BOYERO DE ENTLEBUCH
BODA,BOYERO DE LAS ARDENAS
BESE,BOYERO DE MONTAÑA BERNES
BRIT,BRACCO ITALIANO
BRAU,BRACO DE AUVERNIA
BRAR,BRACO DEL ARIEGE
BRBO,BRACO DEL BORBONESADO
BRSL,BRACO ESLOVACO DE PELO DURO
BRFG,BRACO FRANCÉS - TIPO GASCUÑA
BRFP,BRACO FRANCÉS - TIPO PIRINEOS
BRSG,BRACO SAINT-GERMAIN
BGVE,BRIQUET GRIFON VENDEANO
BROH,BROHOLMER
NOBU,BUHUND NORUEGO
BUTE,BULL TERRIER
BUFR,BULLDOG FRANCES
BUDI,BULLDOG INGLES
BUMA,BULLMASTIFF
CATE,CAIRN TERRIER
CADO,CANAAN DOG
CACO,CANE CORSO
CANI,CANICHE
CAKC,CAVALIER KING CHARLES SPANIEL
NOEN,CAZADOR DE ALCES NORUEGO NEGRO
CESK,CESKY TERRIER
CETE,CESKY TERRIER
CHPO,CHART POLSKI
CHRE,CHESAPEAKE BAY RETRIEVER
CHIH,CHIHUAHUA
CHPL,CHIHUAHUA
CHIN,CHIN
CHCR,CHINESE CRESTED DOG
CHOW,CHOW CHOW
CIMA,CIMARRON
CIET,CIRNECO DEL ETNA
CLSP,CLUMBER SPANIEL
COSA,COCKER SPANIEL AMERICANO
COSI,COCKER SPANIEL INGLES
COLL,COLLIE ROUGH
COLS,COLLIE SMOOTH
COTU,COTON DE TULEAR
CCRE,CURLY COATED RETRIEVER
ALPE,DACHSBRACKE DE LOS ALPES
DACH,DACHSHUND
DAPC,DACHSHUND PELO CORTO
DAPD,DACHSHUND PELO DURO
